arquivo,teste,status
test/abrir_estudio_3d_test.dart,o menu da camada leva direto ao Estudio,Pendente de revisão individual; não desativado
test/beta_reports_test.dart,layer reorder and time moves remain usable in tools and compact timeline,Pendente de revisão individual; não desativado
test/beta_reports_test.dart,empty project footer fits a small phone and opens add tools,Pendente de revisão individual; não desativado
test/editor_hierarchy_test.dart,"select, transform, curve, back preserves context at 375.0",Pendente de revisão individual; não desativado
test/editor_hierarchy_test.dart,"select, transform, curve, back preserves context at 430.0",Pendente de revisão individual; não desativado
test/editor_preview_keyframe_visibility_test.dart,"preview stays the same through selection and tools at Size(375.0, 667.0)",Pendente de revisão individual; não desativado
test/editor_preview_keyframe_visibility_test.dart,"preview stays the same through selection and tools at Size(390.0, 844.0)",Pendente de revisão individual; não desativado
test/editor_hierarchy_test.dart,selection change exits old property and multi back keeps primary,Pendente de revisão individual; não desativado
test/editor_preview_keyframe_visibility_test.dart,"preview stays the same through selection and tools at Size(430.0, 932.0)",Pendente de revisão individual; não desativado
test/editor_preview_keyframe_visibility_test.dart,single keys have painted area and remain tappable over trim handles,Pendente de revisão individual; não desativado
test/editor_hierarchy_test.dart,all transform properties fit a small phone,Pendente de revisão individual; não desativado
test/efeitos_fase4_test.dart,"galeria: miniaturas, busca, categoria, um toque aplica",Pendente de revisão individual; não desativado
test/editor_hierarchy_test.dart,3D and Grid open directly from the dock without popping editor,Pendente de revisão individual; não desativado
test/efeitos_fase4_test.dart,cartao: parametros diretos nos dois modos; Pro preserva preset e assar,Pendente de revisão individual; não desativado
test/effect_preset_store_test.dart,"preset vai e volta do JSON com efeito, keyframes e nome",Pendente de revisão individual; não desativado
test/effect_universal_keyframe_test.dart,"marca no inicio, mexe no fim: um keyframe com tudo dentro",Pendente de revisão individual; não desativado
test/effect_universal_keyframe_test.dart,editar de novo no mesmo instante so troca o valor do keyframe,Pendente de revisão individual; não desativado
test/effect_universal_keyframe_test.dart,"os tempos de keyframe do efeito sao a uniao, sem repetir o instante",Pendente de revisão individual; não desativado
test/export_fluxo_test.dart,escolhe o fluxo e confere o espaco ANTES de abrir,Pendente de revisão individual; não desativado
test/gestos_do_painel_test.dart,"o dial gira com arrasto VERTICAL, mesmo com o painel rolando",Pendente de revisão individual; não desativado
test/girar_da_volta_test.dart,o dial de Girar cruza o limite e passa de uma volta,Pendente de revisão individual; não desativado
test/gestos_do_painel_test.dart,o pad de mover leva a camada com arrasto vertical,Pendente de revisão individual; não desativado
test/gestos_do_painel_test.dart,"o pad do pivo arrasta, e o toque duplo devolve ao centro",Pendente de revisão individual; não desativado
test/inicio_redesenho_test.dart,"um botao de criar, sem pilulas, e o menu de cada projeto",Pendente de revisão individual; não desativado
test/keyframes_fase5_test.dart,tocar o losango abre o E5 com a grade de presets (Simples) e o preset muda o easing,Pendente de revisão individual; não desativado
test/keyframe_dez_testes_test.dart,"TESTE 10 — nao ha ""Auto Keyframe"" em lugar nenhum do codigo",Pendente de revisão individual; não desativado
test/keyframes_fase5_test.dart,Pro: toque longo no valor abre a expressao; loop pelo menu da curva,Pendente de revisão individual; não desativado
test/keyframe_test.dart,"AnimatedDouble edited: com animacao vira keyframe, sem animacao muda a base",Pendente de revisão individual; não desativado
test/largura_arrastavel_test.dart,"largura e altura andam com o dedo, em Size(375.0, 667.0)",Pendente de revisão individual; não desativado
test/largura_arrastavel_test.dart,"largura e altura andam com o dedo, em Size(430.0, 844.0)",Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,cor da cena 3D abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/manual_auto_key_test.dart,"auto-key uses layer-local time, preserves start, and undo restores pose",Pendente de revisão individual; não desativado
test/manual_auto_key_test.dart,auto-key rotation records all axes and preserves initial scale,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,cameras abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,Elemento 3D abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,cor do elemento 3D abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,borda e sombra abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,fonte abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,texto em caminho abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,particulas abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,legendas abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,tempo da precomp abre e fecha pelo menu real sem retirar o editor,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,toque duplo em Cena 3D fecha apenas o menu uma vez,Pendente de revisão individual; não desativado
test/layer_menu_navigation_test.dart,Cena 3D abre o Estudio sem retirar o editor,Pendente de revisão individual; não desativado
