pt	en	es	ar	ko	ja	zh	hi	id	ru
Idioma	Language	Idioma	اللغة	언어	言語	语言	भाषा	Bahasa	Язык
Inicio	Home	Inicio	الرئيسية	홈	ホーム	首页	होम	Beranda	Главная
Ajustes	Settings	Ajustes	الإعدادات	설정	設定	设置	सेटिंग	Pengaturan	Настройки
Comunidade	Community	Comunidad	المجتمع	커뮤니티	コミュニティ	社区	समुदाय	Komunitas	Сообщество
Perfil	Profile	Perfil	الملف الشخصي	프로필	プロフィール	个人资料	प्रोफ़ाइल	Profil	Профиль
Sobre	About	Acerca de	حول التطبيق	정보	このアプリについて	关于	परिचय	Tentang	О приложении
Novo projeto	New project	Nuevo proyecto	مشروع جديد	새 프로젝트	新規プロジェクト	新建项目	नया प्रोजेक्ट	Proyek baru	Новый проект
Projetos	Projects	Proyectos	المشاريع	프로젝트	プロジェクト	项目	प्रोजेक्ट	Proyek	Проекты
Recentes	Recent	Recientes	الأخيرة	최근 항목	最近の項目	最近	हाल के	Terbaru	Недавние
Cancelar	Cancel	Cancelar	إلغاء	취소	キャンセル	取消	रद्द करें	Batal	Отмена
Salvar	Save	Guardar	حفظ	저장	保存	保存	सहेजें	Simpan	Сохранить
Excluir	Delete	Eliminar	حذف	삭제	削除	删除	हटाएँ	Hapus	Удалить
Excluir projeto	Delete project	Eliminar proyecto	حذف المشروع	프로젝트 삭제	プロジェクトを削除	删除项目	प्रोजेक्ट हटाएँ	Hapus proyek	Удалить проект
Abrir	Open	Abrir	فتح	열기	開く	打开	खोलें	Buka	Открыть
Fechar	Close	Cerrar	إغلاق	닫기	閉じる	关闭	बंद करें	Tutup	Закрыть
Voltar	Back	Volver	رجوع	뒤로	戻る	返回	वापस	Kembali	Назад
Confirmar	Confirm	Confirmar	تأكيد	확인	確認	确认	पुष्टि करें	Konfirmasi	Подтвердить
Aplicar	Apply	Aplicar	تطبيق	적용	適用	应用	लागू करें	Terapkan	Применить
Adicionar	Add	Añadir	إضافة	추가	追加	添加	जोड़ें	Tambah	Добавить
Remover	Remove	Quitar	إزالة	제거	削除	移除	हटाएँ	Hapus	Убрать
Editar	Edit	Editar	تعديل	편집	編集	编辑	संपादित करें	Edit	Редактировать
Duplicar	Duplicate	Duplicar	تكرار	복제	複製	复制	डुप्लिकेट करें	Duplikat	Дублировать
Renomear	Rename	Renombrar	إعادة التسمية	이름 변경	名前を変更	重命名	नाम बदलें	Ubah nama	Переименовать
Nome	Name	Nombre	الاسم	이름	名前	名称	नाम	Nama	Название
Pesquisar	Search	Buscar	بحث	검색	検索	搜索	खोजें	Cari	Поиск
Tente novamente	Try again	Inténtalo de nuevo	حاول مرة أخرى	다시 시도하세요	もう一度お試しください	请重试	फिर कोशिश करें	Coba lagi	Повторите попытку
Exportar	Export	Exportar	تصدير	내보내기	書き出す	导出	निर्यात करें	Ekspor	Экспорт
